Category: All categories,
,
Week,donald trump: (United States)
1/10/2016,8
1/17/2016,9
1/24/2016,13
1/31/2016,13
2/7/2016,11
2/14/2016,12
2/21/2016,20
2/28/2016,31
3/6/2016,22
3/13/2016,26
3/20/2016,17
3/27/2016,14
4/3/2016,12
4/10/2016,10
4/17/2016,11
4/24/2016,12
5/1/2016,17
5/8/2016,12
5/15/2016,11
5/22/2016,10
5/29/2016,10
6/5/2016,12
6/12/2016,14
6/19/2016,10
6/26/2016,8
7/3/2016,9
7/10/2016,9
7/17/2016,30
7/24/2016,21
7/31/2016,18
8/7/2016,13
8/14/2016,12
8/21/2016,10
8/28/2016,10
9/4/2016,10
9/11/2016,12
9/18/2016,10
9/25/2016,21
10/2/2016,23
10/9/2016,37
10/16/2016,26
10/23/2016,19
10/30/2016,20
11/6/2016,100
11/13/2016,30
11/20/2016,16
11/27/2016,13
12/4/2016,11
12/11/2016,10
12/18/2016,9
12/25/2016,8
1/1/2017,10
1/8/2017,17
1/15/2017,36
1/22/2017,29
1/29/2017,24
2/5/2017,18
2/12/2017,16
2/19/2017,12
2/26/2017,12
3/5/2017,10
3/12/2017,9
3/19/2017,10
3/26/2017,8
4/2/2017,8
4/9/2017,7
4/16/2017,6
4/23/2017,6
4/30/2017,7
5/7/2017,8
5/14/2017,11
5/21/2017,9
5/28/2017,11
6/4/2017,10
6/11/2017,9
6/18/2017,6
6/25/2017,7
7/2/2017,8
7/9/2017,10
7/16/2017,7
7/23/2017,9
7/30/2017,7
8/6/2017,7
8/13/2017,11
8/20/2017,8
8/27/2017,7
9/3/2017,6
9/10/2017,5
9/17/2017,7
9/24/2017,11
10/1/2017,8
10/8/2017,10
10/15/2017,7
10/22/2017,7
10/29/2017,8
11/5/2017,6
11/12/2017,8
11/19/2017,6
11/26/2017,8
12/3/2017,8
12/10/2017,7
12/17/2017,6
12/24/2017,6
12/31/2017,8
1/7/2018,9
1/14/2018,9
1/21/2018,7
1/28/2018,8
2/4/2018,7
2/11/2018,7
2/18/2018,7
2/25/2018,6
3/4/2018,6
3/11/2018,8
3/18/2018,8
3/25/2018,7
4/1/2018,6
4/8/2018,7
4/15/2018,6
4/22/2018,6
4/29/2018,6
5/6/2018,6
5/13/2018,5
5/20/2018,5
5/27/2018,5
6/3/2018,5
6/10/2018,7
6/17/2018,7
6/24/2018,6
7/1/2018,5
7/8/2018,5
7/15/2018,7
7/22/2018,7
7/29/2018,6
8/5/2018,6
8/12/2018,6
8/19/2018,7
8/26/2018,9
9/2/2018,7
9/9/2018,6
9/16/2018,6
9/23/2018,6
9/30/2018,7
10/7/2018,5
10/14/2018,5
10/21/2018,5
10/28/2018,6
11/4/2018,8
11/11/2018,6
11/18/2018,5
11/25/2018,6
12/2/2018,7
12/9/2018,7
12/16/2018,6
12/23/2018,7
12/30/2018,6
1/6/2019,8
1/13/2019,9
1/20/2019,8
1/27/2019,6
2/3/2019,6
2/10/2019,6
2/17/2019,6
2/24/2019,6
3/3/2019,5
3/10/2019,5
3/17/2019,5
3/24/2019,5
3/31/2019,4
4/7/2019,4
4/14/2019,5
4/21/2019,5
4/28/2019,4
5/5/2019,5
5/12/2019,4
5/19/2019,4
5/26/2019,5
6/2/2019,5
6/9/2019,5
6/16/2019,5
6/23/2019,5
6/30/2019,5
7/7/2019,5
7/14/2019,6
7/21/2019,5
7/28/2019,5
8/4/2019,6
8/11/2019,5
8/18/2019,5
8/25/2019,5
9/1/2019,4
9/8/2019,5
9/15/2019,4
9/22/2019,8
9/29/2019,7
10/6/2019,6
10/13/2019,6
10/20/2019,5
10/27/2019,6
11/3/2019,7
11/10/2019,6
11/17/2019,7
11/24/2019,5
12/1/2019,5
12/8/2019,6
12/15/2019,21
12/22/2019,5
12/29/2019,7
1/5/2020,9
1/12/2020,6
1/19/2020,6
1/26/2020,6
2/2/2020,10
2/9/2020,6
2/16/2020,6
2/23/2020,5
3/1/2020,6
3/8/2020,9
3/15/2020,10
3/22/2020,8
3/29/2020,6
4/5/2020,6
4/12/2020,7
4/19/2020,6
4/26/2020,5
5/3/2020,5
5/10/2020,6
5/17/2020,6
5/24/2020,8
5/31/2020,14
6/7/2020,9
6/14/2020,10
6/21/2020,9
6/28/2020,13
7/5/2020,8
7/12/2020,7
7/19/2020,7
7/26/2020,7
8/2/2020,7
8/9/2020,7
8/16/2020,10
8/23/2020,11
8/30/2020,7
9/6/2020,7
9/13/2020,7
9/20/2020,6
9/27/2020,21
10/4/2020,17
10/11/2020,9
10/18/2020,11
10/25/2020,10
11/1/2020,39
11/8/2020,26
11/15/2020,14
11/22/2020,10
11/29/2020,8
12/6/2020,8
12/13/2020,8
12/20/2020,8
12/27/2020,8
1/3/2021,13
